id,release_date,movie,production_budget,domestic_gross,worldwide_gross
99,2016-03-15,The Hatching,,,
100,2015-10-27,Running Forever,,,
1,2015-01-23,Mommy,,,
2,2008-08-29,Obsluhoval jsem anglickÃ©ho krÃ¡le,,,
3,2010-08-20,Soul Kitchen,,,
4,2012-08-17,The Awakening,,,
5,2008-01-18,All Hat,,,
6,1996-11-20,Sling Blade,,,
7,2006-01-06,Hostel,,,
8,2013-07-19,Only God Forgives,,,
9,2011-09-30,Take Shelter,,,
10,2006-01-27,Tristram Shandy: A Cock and Bull Story,,,
11,1986-08-22,The Texas Chainsaw Massacre 2,,,
12,1988-04-22,Lady in White,,,
13,2006-10-13,Driving Lessons,,,
14,2011-12-31,Without Men,,,
15,2015-03-10,Treading Water,,,
16,1973-05-23,Pat Garrett and Billy the Kid,,,
17,2004-07-16,Camping Sauvage,,,
18,2012-09-14,Barfi,,,
19,2005-03-04,Dear Frankie,,,
20,2004-12-29,The Assassination of Richard Nixon,,,
21,2011-06-24,Le nom des gens,,,
22,2008-05-28,Savage Grace,,,
23,2007-10-19,Out of the Blue,,,
24,1984-03-23,Police Academy,,,
25,1994-03-09,Four Weddings and a Funeral,,,
26,1980-06-20,The Blue Lagoon,,,
27,1982-08-13,Fast Times at Ridgemont High,,,
28,1996-09-28,Secrets & Lies,,,
29,2002-12-19,25th Hour,,,
30,1985-09-13,After Hours,,,
31,1956-06-27,Moby Dick,,,
32,2016-03-25,The Lobster,,,
33,1996-10-04,Bound,,,
34,2000-10-06,Requiem for a Dream,,,
35,1962-03-09,State Fair,,,
36,2008-10-24,LÃ¥t den rÃ¤tte komma in,,,
37,1999-02-12,Tango,,,
38,1986-04-23,Salvador,,,
39,2001-10-26,Donnie Darko,,,
40,2011-09-02,Salvando al Soldado Perez,,,
41,1998-03-27,Karakter,,,
42,2011-08-19,Nannerl la soeur de Mozart,,,
43,2003-03-14,Spun,,,
44,2010-07-23,Life During Wartime,,,
45,2006-05-04,Chinjeolhan geumjassi,,,
46,2011-10-07,Blackthorn,,,
47,2015-05-08,Maggie,,,
48,2003-04-18,Lilja 4-ever,,,
49,2010-04-09,After.Life,,,
50,2002-02-22,Mean Machine,,,
51,2007-08-31,Fong juk,,,
52,2010-07-23,Spoken Word,,,
53,2013-03-01,The Sweeney,,,
54,2014-09-04,Falcon Rising,,,
55,2013-06-25,Hansel & Gretel Get Baked,,,
56,2014-11-07,Fugly,,,
57,2015-08-28,Zipper,,,
58,2015-11-03,The Final Girls,,,
59,2017-12-01,Daisy Winters,,,
60,1975-11-19,One Flew Over the Cuckoo's Nest,,,
61,1976-06-25,Silent Movie,,,
62,2016-12-31,Airlift (2016),,,
63,2015-09-29,R.L. Stine's Monsterville: The Cabinet of Souls,,,
64,2014-06-06,Anna,,,
65,2003-06-06,Whale Rider,,,
66,2001-06-13,Sexy Beast,,,
67,2009-12-04,Paa,,,
68,2012-07-11,Snabba Cash,,,
69,1990-10-19,Night of the Living Dead,,,
70,2006-02-17,Nochnoy dozor,,,
71,2010-08-13,Animal Kingdom,,,
72,2010-05-28,George A. Romero's Survival of the Dead,,,
73,2011-10-21,Cargo,,,
74,2006-05-23,High School Musical,,,
75,1998-03-06,Love and Death on Long Island,,,
76,1982-03-19,Porky's,,,
77,1953-02-05,Peter Pan,,,
78,1992-11-25,The Crying Game,,,
79,2003-09-12,Lost in Translation,,,
80,1977-04-20,Annie Hall,,,
81,2015-01-23,The Boy Next Door,,,
82,1952-01-10,The Greatest Show on Earth,,,
83,1995-10-27,Leaving Las Vegas,,,
84,2001-12-26,Monster's Ball,,,
85,2014-07-11,Boyhood,,,
86,1960-12-15,Exodus,,,
87,2010-07-09,The Kids Are All Right,,,
88,1979-08-17,Life of Brian,,,
89,2014-04-18,A Haunted House 2,,,
90,2013-03-01,The Last Exorcism Part II,,,
91,1974-12-17,The Front Page,,,
92,1956-05-30,Trapeze,,,
93,1985-08-16,The Return of the Living Dead,,,
94,1988-11-04,They Live,,,
95,2000-08-04,Saving Grace,,,
96,1963-08-08,The Great Escape,,,
97,2004-02-06,What the #$'! Do We Know,,,
98,2016-05-13,The Darkness,,,
99,2006-07-28,Scoop,,,
100,2001-11-14,The Wash,,,
1,2000-03-01,3 Strikes,,,
2,2008-04-11,The Visitor,,,
3,2003-11-26,The Cooler,,,
4,1961-02-01,The Misfits,,,
5,2006-08-04,The Night Listener,,,
6,1995-02-03,The Jerky Boys,,,
7,2007-12-28,El orfanato,,,
8,2007-05-25,Bug,,,
9,2002-10-11,The Rules of Attraction,,,
10,1969-12-19,Topaz,,,
11,2006-11-17,Let's Go to Prison,,,
12,1995-12-25,Four Rooms,,,
13,2002-09-20,Secretary,,,
14,2003-04-25,The Real Cancun,,,
15,1988-12-01,Talk Radio,,,
16,1997-01-31,Waiting for Guffman,,,
17,1999-09-10,Love Stinks,,,
18,2012-08-24,Samsara,,,
19,2007-06-22,You Kill Me,,,
20,2011-06-17,The Art of Getting By,,,
21,2005-09-16,Thumbsucker,,,
22,2011-09-23,Red State,,,
23,2005-09-30,MirrorMask,,,
24,1987-03-31,The Barbarians,,,
25,2012-10-17,Holy Motors,,,
26,2014-06-13,The Signal,,,
27,2003-02-28,Poolhall Junkies,,,
28,1999-05-28,The Loss of Sexual Innocence,,,
29,2014-03-07,The Face of Love,,,
30,2014-04-11,Joe,,,
31,1988-03-04,Prison,,,
32,1998-05-01,Shooting Fish,,,
33,2009-05-08,Adoration,,,
34,2000-08-04,Psycho Beach Party,,,
35,2019-06-07,Late Night,,,
36,2000-01-28,The Big Tease,,,
37,2017-08-25,Polina danser sa vie,,,
38,2015-04-10,Desert Dancer,,,
39,2015-01-30,"Guten Tag, Ramon",,,
40,2003-07-25,Mondays in the Sun,,,
41,2015-06-19,Manglehorn,,,
42,2010-04-02,Tau ming chong,,,
43,2011-04-01,Trust,,,
44,2000-12-22,An Everlasting Piece,,,
45,1999-03-26,Among Giants,,,
46,1999-07-16,The Velocity of Gary,,,
47,2011-04-22,Stake Land,,,
48,2015-02-27,Praia do Futuro,,,
49,2002-12-27,Sonny,,,
50,1997-06-20,The Last Time I Committed Suicide,,,
51,2014-04-18,13 Sins,,,
52,2011-11-18,Another Happy Day,,,
53,2013-02-22,Inescapable,,,
54,2017-12-31,Perfectos Desconocidos,,,
55,2013-12-31,Geograf globus propil,,,
56,2012-03-20,A Lonely Place to Die,,,
57,2003-12-31,Nothing,,,
58,2012-06-01,The Loved Ones,,,
59,1972-11-09,1776,,,
60,1930-11-15,Hell's Angels,,,
61,2008-08-26,Purple Violets,,,
62,2012-11-09,Replicas,,,
63,2012-12-31,The Helpers,,,
64,2015-12-31,The Veil,,,
65,2014-07-11,The Perfect Wave,,,
66,2012-12-31,How to Fall in Love,,,
67,2015-09-08,Chain of Command,,,
68,1939-12-15,Gone with the Wind,,,
69,1966-12-12,A Man for All Seasons,,,
70,1925-12-30,Ben-Hur: A Tale of the Christ,,,
71,1976-01-01,Network,,,
72,2011-01-14,Down for Life,,,
73,2010-04-30,The Good Heart,,,
74,1965-04-07,Major Dundee,,,
75,2018-10-05,Hevi reissu,,,
76,1974-12-31,The Taking of Pelham One Two Three,,,
77,1950-05-17,Annie Get Your Gun,,,
78,2006-08-11,Casa de Areia,,,
79,2010-11-05,Four Lions,,,
80,2010-02-19,Defendor,,,
81,1970-05-13,The Ballad of Cable Hogue,,,
82,1948-05-20,The Pirate,,,
83,2006-11-21,The History Boys,,,
84,2006-11-03,Unknown,,,
85,1969-05-25,Midnight Cowboy,,,
86,2008-10-10,Billy: The Early Years of Billy Graham,,,
87,2017-12-31,UtÃ¸ya 22. juli,,,
88,1980-07-04,Airplane!,,,
89,1970-01-01,M*A*S*H,,,
90,1997-08-13,The Full Monty,,,
91,2018-04-13,Truth or Dare,,,
92,1993-05-26,Menace II Society,,,
93,1995-04-26,Friday,,,
94,2016-02-19,The Witch,,,
95,2018-02-02,Winchester,,,
96,2002-12-06,Empire,,,
97,2013-02-22,Dark Skies,,,
98,2018-01-19,Forever My Girl,,,
99,1987-05-01,Creepshow 2,,,
100,1967-12-14,In Cold Blood,,,
1,1959-07-18,The Nun's Story,,,
2,1972-06-21,Frenzy,,,
3,1966-02-23,Harper,,,
4,1998-05-27,I Got the Hook-Up!,,,
5,1996-08-23,She's the One,,,
6,1980-01-01,Terror Train,,,
7,1998-11-06,Gods and Monsters,,,
8,2010-04-16,El secreto de sus ojos,,,
9,1987-03-13,Evil Dead II,,,
10,1985-06-30,Day of the Dead,,,
11,2018-05-18,First Reformed,,,
12,2001-06-29,Pootie Tang,,,
13,2016-12-02,Believe,,,
14,2000-04-19,La otra conquista,,,
15,2016-09-30,American Honey,,,
16,2016-03-18,The Bronze,,,
17,2011-06-10,Trolljegeren,,,
18,2007-09-14,Ira and Abby,,,
19,2016-01-08,The Masked Saint,,,
20,2006-02-17,Winter Passing,,,
21,2005-03-25,D.E.B.S.,,,
22,2016-06-03,Time to Choose,,,
23,2009-06-26,Surveillance,,,
24,1999-09-17,Taxman,,,
25,2011-12-31,The Kick,,,
26,2009-06-30,The Betrayed,,,
27,2006-10-01,The Secret,,,
28,2011-06-28,2:13,,,
29,2013-01-29,"Batman: The Dark Knight Returns, Part 2",,,
30,2014-03-11,In the Name of the King III,,,
31,2014-03-04,Wicked Blood,,,
32,2015-06-05,Dawn Patrol,,,
33,2013-05-17,Jagten,,,
34,2015-09-01,Lords of London,,,
35,2005-06-24,La marche de l'empereur,,,
36,1977-12-23,High Anxiety,,,
37,2011-10-21,Margin Call,,,
38,2008-09-26,Choke,,,
39,2004-04-23,L\'incomparable mademoiselle C.,,,
40,2008-07-11,August,,,
41,2015-03-03,To Write Love On Her Arms,,,
42,1956-02-16,Carousel,,,
43,2014-10-10,Whiplash,,,
44,2007-10-26,Bella,,,
45,2003-01-17,Cidade de Deus,,,
46,2000-05-05,Human Traffic,,,
47,2006-12-29,The Dead Girl,,,
48,2015-01-20,The Opposite Sex,,,
49,1983-11-18,A Christmas Story,,,
50,1982-08-20,Class of 1984,,,
51,2009-01-30,Entre les murs,,,
52,1999-10-29,Dreaming of Joseph Lees,,,
53,1968-06-12,Rosemary's Baby,,,
54,2018-07-06,Sorry to Bother You,,,
55,1962-04-22,The Man Who Shot Liberty Valance,,,
56,2004-07-16,Maria Full of Grace,,,
57,2011-06-03,Beginners,,,
58,2016-04-22,The Meddler,,,
59,2009-07-29,Adam,,,
60,2006-09-22,Feast,,,
61,1946-12-20,Itâs a Wonderful Life,,,
62,1996-07-19,Trainspotting,,,
63,2013-04-12,Antiviral,,,
64,1978-07-28,National Lampoon's Animal House,,,
65,2010-10-20,Paranormal Activity 2,,,
66,2015-08-28,War Room,,,
67,2013-06-07,The Purge,,,
68,1964-12-22,Goldfinger,,,
69,2012-10-12,Sinister,,,
70,2000-08-18,The Original Kings of Comedy,,,
71,1957-12-18,The Bridge on the River Kwai,,,
72,1978-01-01,Coming Home,,,
73,1998-11-20,Waking Ned Devine,,,
74,1997-08-01,Air Bud,,,
75,2002-10-11,Bowling for Columbine,,,
76,1985-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,,,
77,1986-03-07,A Room with a View,,,
78,1975-06-10,Love and Death,,,
79,1986-08-01,Friday the 13th Part VI: Jason Lives,,,
80,2002-08-02,Martin Lawrence Live: RunTelDat,,,
81,1960-06-15,The Apartment,,,
82,1958-09-20,Cat on a Hot Tin Roof,,,
83,1970-05-26,Beneath the Planet of the Apes,,,
84,2001-04-06,Pokemon 3: The Movie,,,
85,1993-08-13,Jason Goes to Hell: The Final Friday,,,
86,1990-04-27,Spaced Invaders,,,
87,1976-04-09,Family Plot,,,
88,1966-07-16,Torn Curtain,,,
89,2018-06-01,Upgrade,,,
90,2006-03-03,Dave Chappelle's Block Party,,,
91,1985-10-25,Krush Groove,,,
92,1960-07-07,Elmer Gantry,,,
93,2009-05-08,Next Day Air,,,
94,1961-12-19,Judgment at Nuremberg,,,
95,1998-11-04,Belly,,,
96,1999-05-12,Trippinâ,,,
97,1948-08-26,Red River,,,
98,2001-08-08,The Deep End,,,
99,2013-05-24,Before Midnight,,,
100,1987-11-20,Teen Wolf Too,,,
1,2009-07-31,The Collector,,,
2,1988-07-08,Phantasm II,,,
3,2017-10-27,Let There Be Light,,,
4,2006-04-07,Phat Girlz,,,
5,2004-10-01,Woman Thou Art Loosed,,,
6,2002-10-18,Real Women Have Curves,,,
7,1981-08-28,Gallipoli,,,
8,2006-04-28,Water,,,
9,2016-07-22,Donât Think Twice,,,
10,2016-06-24,Swiss Army Man,,,
11,2000-04-14,East is East,,,
12,2000-09-01,Whipped,,,
13,1997-02-28,Kama Sutra,,,
14,2013-05-17,Frances Ha,,,
15,2010-04-30,Please Give,,,
16,1971-06-30,Willy Wonka & the Chocolate Factory,,,
17,1993-09-24,Warlock: The Armageddon,,,
18,1997-04-18,8 Heads in a Duffel Bag,,,
19,1978-09-13,Days of Heaven,,,
20,2002-05-24,Thirteen Conversations About One Thing,,,
21,2016-04-22,Compadres,,,
22,1999-02-19,Jawbreaker,,,
23,1996-08-09,Basquiat,,,
24,2006-02-24,Tsotsi,,,
25,2010-04-09,Letters to God,,,
26,1998-10-16,Happiness,,,
27,2003-04-04,DysFunkTional Family,,,
28,2014-09-19,Tusk,,,
29,2017-05-12,The Wall,,,
30,2003-10-24,Elephant,,,
31,2012-04-06,Damsels in Distress,,,
32,2005-03-25,Oldboy,,,
33,2011-05-06,Hobo with a Shotgun,,,
34,2015-05-08,The D Train,,,
35,2012-09-07,Bachelorette,,,
36,2010-01-15,Fish Tank,,,
37,2008-09-05,Everybody Wants to Be Italian,,,
38,2011-09-09,Creature,,,
39,2016-12-09,The Bounce Back,,,
40,1996-08-23,Freeway,,,
41,2006-10-06,Love's Abiding Joy,,,
42,1993-02-12,Dead Alive,,,
43,2010-10-01,Chain Letter,,,
44,2012-03-02,Tim and Eric's Billion Dollar Movie,,,
45,2007-11-09,Holly,,,
46,2010-03-26,The Eclipse,,,
47,2008-03-21,The Grand,,,
48,2006-03-17,Sommersturm,,,
49,2014-08-15,Fort McCoy,,,
50,1999-08-04,The Gambler,,,
51,2000-10-13,Just Looking,,,
52,2015-09-04,Before We Go,,,
53,2012-01-13,The Divide,,,
54,2011-09-09,Tanner Hall,,,
55,2005-09-30,My Big Fat Independent Movie,,,
56,2017-10-10,Demonic,,,
57,2008-04-15,Ã l\'intÃ©rieur,,,
58,2014-06-27,They Came Together,,,
59,2013-05-21,Open Road,,,
60,1951-07-28,Alice in Wonderland,,,
61,2010-10-01,Barry Munday,,,
62,2009-12-31,The Deported,,,
63,2009-12-31,Chicago Overcoat,,,
64,2011-09-13,Never Back Down 2: The Beatdown,,,
65,2015-12-31,AWOL-72,,,
66,2013-01-15,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,,,
67,2015-02-06,Enter the Dangerous Mind,,,
68,2015-03-17,Something Wicked,,,
69,1967-09-18,Point Blank,,,
70,2014-10-27,Iguana,,,
71,2009-12-31,Four Single Fathers,,,
72,2015-08-14,Amnesiac,,,
73,2015-12-31,Unnatural,,,
74,2015-12-11,Close Range,,,
75,1946-01-18,The Harvey Girls,,,
76,1950-02-15,Cinderella,,,
77,1998-11-20,Central do Brasil,,,
78,1961-12-19,Pocketful of Miracles,,,
79,2006-03-24,Boynton Beach Club,,,
80,2010-10-01,Freakonomics,,,
81,2011-08-19,Griff the Invisible,,,
82,1959-03-29,Some Like it Hot,,,
83,2005-06-10,High Tension,,,
84,1974-12-15,Young Frankenstein,,,
85,1976-06-25,The Omen,,,
86,2005-07-22,Hustle & Flow,,,
87,1988-05-13,Friday the 13th Part VII: The New Blood,,,
88,2006-09-15,Artie Lange's Beer League,,,
89,1939-08-25,The Wizard of Oz,,,
90,2008-02-15,Diary of the Dead,,,
91,1979-10-17,The Black Stallion,,,
92,1997-06-13,Ulee's Gold,,,
93,2018-10-26,Indivisible,,,
94,2006-09-01,Lage Raho Munna Bhai,,,
95,2015-12-31,Sardaar Ji,,,
96,2008-12-31,Rejsen til Saturn,,,
97,1963-06-12,Donovan's Reef,,,
98,1956-01-12,Diane,,,
99,1998-01-16,The Dress,,,
100,1943-12-24,A Guy Named Joe,,,
1,1974-02-07,Blazing Saddles,,,
2,1984-04-13,Friday the 13th Part IV: The Final Chapter,,,
3,2014-05-02,Ida,,,
4,1987-01-01,Maurice,,,
5,2004-07-09,Riding Giants,,,
6,2008-12-12,Los CronocrÃ­menes,,,
7,2011-12-31,La Cara Oculta,,,
8,2007-12-07,Timber Falls,,,
9,2008-12-31,Silver Medalist,,,
10,2011-04-01,"Fat, Sick & Nearly Dead",,,
11,1952-04-10,Singin' in the Rain,,,
12,2013-01-11,A Haunted House,,,
13,2012-07-13,2016: Obamaâs America,,,
14,2013-07-03,Kevin Hart: Let Me Explain,,,
15,2004-07-28,Garden State,,,
16,1996-10-04,That Thing You Do!,,,
17,1981-10-30,Halloween II,,,
18,1982-10-22,Halloween 3: Season of the Witch,,,
19,2008-10-01,Religulous,,,
20,1971-01-01,Escape from the Planet of the Apes,,,
21,1963-05-29,Hud,,,
22,2013-08-02,The Spectacular Now,,,
23,1991-09-29,My Own Private Idaho,,,
24,1995-01-27,Before Sunrise,,,
25,2016-06-24,Hunt for the Wilderpeople,,,
26,2012-08-17,Robot & Frank,,,
27,2003-10-03,Sur Le Seuil,,,
28,2000-06-16,Jesus' Son,,,
29,2005-05-27,Saving Face,,,
30,2008-06-20,Brick Lane,,,
31,2013-03-01,The Lost Medallion: The Adventures of Billy Stone,,,
32,2003-09-26,My Life Without Me,,,
33,2006-03-31,Marilyn Hotchkiss' Ballroom Dancing and Charm School,,,
34,2011-04-01,Super,,,
35,2008-11-14,Fuel,,,
36,2010-04-09,Valley of the Hearts Delight,,,
37,2008-10-31,The Other End of the Line,,,
38,2010-06-18,8: The Mormon Proposition,,,
39,2009-04-17,Sleep Dealer,,,
40,2007-08-24,Eye of the Dolphin,,,
41,2013-08-16,Underdogs,,,
42,2000-09-08,Anatomie,,,
43,2009-12-31,The Calling,,,
44,2013-06-21,Alien Uprising,,,
45,2010-12-31,Christmas Mail,,,
46,2015-07-03,Stung,,,
47,2017-09-01,Sky Sharks,,,
48,2015-10-13,8 Days,,,
49,2016-09-02,Antibirth,,,
50,2016-02-02,The Rise of the Krays,,,
51,2014-12-31,Not Safe For Work,,,
52,2011-05-13,Go For It!,,,
53,1996-10-16,Get on the Bus,,,
54,2007-01-05,Thr3e,,,
55,2006-09-01,Idiocracy,,,
56,2009-12-31,NiktÃ©,,,
57,2014-11-14,Always Woodstock,,,
58,2007-07-25,This is England,,,
59,1944-06-27,Bathing Beauty,,,
60,2015-03-20,Do You Believe?,,,
61,1951-07-17,Show Boat,,,
62,1998-05-01,"Dancer, Texas Pop. 81",,,
63,2014-09-05,Frontera,,,
64,2011-08-26,Redemption Road,,,
65,2015-04-15,The Toxic Avenger Part II,,,
66,2016-01-19,Eden,,,
67,1987-06-19,The Brave Little Toaster,,,
68,1940-02-09,Pinocchio,,,
69,1940-11-13,Fantasia,,,
70,1982-08-13,Friday the 13th Part 3,,,
71,1971-10-09,The French Connection,,,
72,1985-03-22,Friday the 13th Part V: A New Beginning,,,
73,2007-02-09,The Last Sin Eater,,,
74,2008-12-31,Impact Point,,,
75,1945-05-03,The Valley of Decision,,,
76,2005-12-31,Chicken Tikka Masala,,,
77,2008-10-07,Jack Brooks: Monster Slayer,,,
78,1946-11-21,The Best Years of Our Lives,,,
79,2001-07-13,Bully,,,
80,2002-05-29,Elling,,,
81,2016-10-16,Mi America,,,
82,2009-07-14,[Rec],,,
83,2012-12-31,Infected,,,
84,2010-12-31,Lies in Plain Sight,,,
85,2015-10-06,The Timber,,,
86,2016-01-19,Sharkskin,,,
87,2011-09-30,Courageous,,,
88,1964-04-08,From Russia With Love,,,
89,1982-05-21,Mad Max 2: The Road Warrior,,,
90,1946-08-15,Notorious,,,
91,1967-08-02,In the Heat of the Night,,,
92,1973-12-17,Sleeper,,,
93,1972-08-11,Everything You Always Wanted to Know,,,
94,2015-03-13,It Follows,,,
95,2018-07-13,Eighth Grade,,,
96,1962-12-25,To Kill A Mockingbird,,,
97,2012-03-09,Silent House,,,
98,1999-10-08,Boys Don't Cry,,,
99,2007-02-09,Das Leben der Anderen,,,
100,2016-04-08,Hardcore Henry,,,
1,1962-06-13,Lolita,,,
2,1940-08-30,Boom Town,,,
3,1947-11-11,Gentleman's Agreement,,,
4,1961-09-25,The Hustler,,,
5,1986-12-31,Witchboard,,,
6,2003-11-26,Les Triplettes de Belleville,,,
7,1998-06-26,Smoke Signals,,,
8,2010-06-11,Winter's Bone,,,
9,2014-10-10,Meet the Mormons,,,
10,2003-08-15,American Splendor,,,
11,2017-10-06,The Florida Project,,,
12,2017-08-25,All Saints,,,
13,2004-07-02,Before Sunset,,,
14,2001-03-30,Amores Perros,,,
15,2003-08-20,Thirteen,,,
16,2004-01-23,Touching the Void,,,
17,2010-10-08,Inside Job,,,
18,1938-05-24,Alexander's Ragtime Band,,,
19,2005-06-17,Me and You and Everyone We Know,,,
20,2015-08-28,We Are Your Friends,,,
21,2006-11-10,Harsh Times,,,
22,2000-03-03,Ghost Dog: The Way of the Samurai,,,
23,2015-09-18,Captive,,,
24,2002-08-02,Full Frontal,,,
25,2018-06-08,Hearts Beat Loud,,,
26,2017-01-20,The Resurrection of Gavin Stone,,,
27,2008-12-25,Waltz with Bashir,,,
28,2006-06-28,Strangers with Candy,,,
29,1992-03-01,Night on Earth,,,
30,1993-01-29,Nemesis,,,
31,2006-10-04,Shortbus,,,
32,2008-05-02,Son of Rambow: A Home Movie,,,
33,2003-09-12,"The Book of Mormon Movie, Volume 1: The Journey",,,
34,2000-05-12,Hamlet,,,
35,2015-08-07,The Diary of a Teenage Girl,,,
36,2007-07-27,No End In Sight,,,
37,2014-04-25,Locke,,,
38,1999-04-30,Get Real,,,
39,2007-09-07,In the Shadow of the Moon,,,
40,2011-04-08,Meek's Cutoff,,,
41,2014-11-28,The Babadook,,,
42,2005-02-11,Inside Deep Throat,,,
43,2001-09-28,Dinner Rush,,,
44,2010-09-24,The Virginity Hit,,,
45,1998-05-15,Clockwatchers,,,
46,1985-11-06,Subway,,,
47,2005-04-15,House of D,,,
48,2008-01-18,Teeth,,,
49,1996-07-26,Stonewall,,,
50,2006-09-08,Sherrybaby,,,
51,2015-02-13,The Last Five Years,,,
52,1998-09-18,Six-String Samurai,,,
53,2000-05-26,Hum to Mohabbt Karega,,,
54,2005-04-15,It's All Gone Pete Tong,,,
55,2010-01-29,Saint John of Las Vegas,,,
56,1998-04-15,24 7: Twenty Four Seven,,,
57,2014-09-19,Pump,,,
58,2008-10-24,Roadside Romeo,,,
59,2001-05-04,Eureka,,,
60,2015-04-07,Lost River,,,
61,2003-07-18,This Thing of Ours,,,
62,2015-10-09,Knock Knock,,,
63,2017-02-03,Growing up Smith,,,
64,2009-03-20,Super Capers,,,
65,1993-01-01,Return of the Living Dead 3,,,
66,2009-11-20,The Missing Person,,,
67,2012-10-19,The First Time,,,
68,2006-02-10,London,,,
69,2010-08-27,Circle,,,
70,2008-10-31,Eden Lake,,,
71,2010-06-11,Jerusalema,,,
72,2006-06-23,Say Uncle,,,
73,2013-09-13,Plush,,,
74,2012-10-26,The Ghastly Love of Johnny X,,,
75,2009-12-29,Lesbian Vampire Killers,,,
76,2011-09-09,Grave Encounters,,,
77,2015-10-23,Bone Tomahawk,,,
78,2004-12-10,Freeze Frame,,,
79,2013-04-01,Stitches,,,
80,2015-12-31,"To Be Frank, Sinatra at 100",,,
81,1971-04-28,Bananas,,,
82,2009-12-31,Nine Dead,,,
83,2008-10-14,No Man's Land: The Rise of Reeker,,,
84,2007-07-07,Rockaway,,,
85,1927-08-12,Wings,,,
86,2015-03-17,The Lady from Shanghai,,,
87,2013-03-19,Straight A's,,,
88,2012-03-30,The Legend of Hellâs Gate: An American Conspiracy,,,
89,2012-12-31,Highway,,,
90,2013-02-08,Small Apartments,,,
91,2013-07-09,Coffee Town,,,
92,2014-12-31,Lucky Dog,,,
93,2001-12-31,Pendulum,,,
94,1966-10-16,A Funny Thing Happened on the Way to the Forum,,,
95,2008-09-23,Slacker Uprising,,,
96,2015-03-20,The Walking Deceased,,,
97,2011-12-31,True Bromance,,,
98,2015-08-21,The Curse of Downers Grove,,,
99,2015-12-31,Wind Walkers,,,
100,2016-07-08,The Dog Lover,,,
1,2015-12-01,Shark Lake,,,
2,2010-09-24,Buried,,,
3,2015-04-21,The Marine 4,,,
4,1987-05-08,River's Edge,,,
5,2008-07-25,Man on Wire,,,
6,2010-10-08,Nowhere Boy,,,
7,2003-07-11,Northfork,,,
8,2015-04-24,Brotherly Love,,,
9,2011-06-03,Submarine,,,
10,2010-04-09,The Square,,,
11,2013-02-08,ABCD (Any Body Can Dance),,,
12,2007-06-29,Chacun sa nuit,,,
13,2013-07-26,Stranded,,,
14,2015-12-31,Vaalu,,,
15,2010-08-27,The Last Exorcism,,,
16,1976-11-16,Carrie,,,
17,1984-11-09,A Nightmare on Elm Street,,,
18,2012-06-27,Beasts of the Southern Wild,,,
19,1964-01-29,Dr. Strangelove,,,
20,1973-01-01,Battle for the Planet of the Apes,,,
21,1951-09-18,A Streetcar Named Desire,,,
22,1968-08-03,Hang 'em High,,,
23,2002-11-15,El crimen de padre Amaro,,,
24,2001-06-15,Songcatcher,,,
25,2011-08-23,Higher Ground,,,
26,2011-04-22,POM Wonderful Presents: The Greatest Movie Ever Sold,,,
27,2005-01-07,Travellers and Magicians,,,
28,1993-01-01,Ed and his Dead Mother,,,
29,2009-12-31,Deadline,,,
30,2007-03-13,Sublime,,,
31,2012-02-03,Dysfunctional Friends,,,
32,2013-12-31,Independence Daysaster,,,
33,2014-03-11,Against the Wild,,,
34,2015-10-20,Beginnerâs Guide to Sex,,,
35,1999-06-18,Lola rennt,,,
36,2003-02-07,May,,,
37,2010-10-08,I Spit on Your Grave,,,
38,2019-04-23,Living Dark: The Story of Ted the Caver,,,
39,2001-11-23,In the Bedroom,,,
40,2008-03-19,La misma luna,,,
41,1972-06-30,Conquest of the Planet of the Apes,,,
42,2014-02-28,The Lunchbox,,,
43,2013-10-04,Grace Unplugged,,,
44,1999-10-01,"Happy, Texas",,,
45,2015-12-18,Saul fia,,,
46,2005-06-17,My Summer of Love,,,
47,2005-06-24,Yes,,,
48,2019-02-01,Braid,,,
49,1953-08-05,From Here to Eternity,,,
50,1938-09-01,You Can't Take It With You,,,
51,1999-04-09,Foolish,,,
52,1949-07-26,She Wore a Yellow Ribbon,,,
53,1974-04-07,The Conversation,,,
54,2010-10-15,N-Secure,,,
55,2008-02-01,Sukkar banat,,,
56,1989-12-31,Out of the Dark,,,
57,2006-01-27,Bubble,,,
58,2005-09-23,Dil Jo Bhi Kahey...,,,
59,1999-01-15,Mississippi Mermaid,,,
60,2014-09-26,Two Night Stand,,,
61,2005-11-04,I Love Your Work,,,
62,1955-08-05,The Kingâs Thief,,,
63,2011-04-01,Insidious,,,
64,2016-10-21,Moonlight,,,
65,2003-09-12,Cabin Fever,,,
66,2007-05-02,Waitress,,,
67,1989-09-08,Kickboxer,,,
68,1988-02-26,Bloodsport,,,
69,1939-10-17,Mr. Smith Goes To Washington,,,
70,2018-03-23,Unsane,,,
71,1995-07-21,Kids,,,
72,2005-10-05,The Squid and the Whale,,,
73,2002-03-13,Kissing Jessica Stein,,,
74,1945-10-31,Spellbound,,,
75,1979-04-20,Dawn of the Dead,,,
76,1994-09-23,Exotica,,,
77,2013-07-26,The To Do List,,,
78,2013-02-01,The Gatekeepers,,,
79,1998-06-26,Buffalo '66,,,
80,1984-03-02,Repo Man,,,
81,2016-10-21,Iâm Not Ashamed,,,
