id,release_date,movie,production_budget,domestic_gross,worldwide_gross
5,2005-05-19,Star Wars Ep. III: Revenge of the Sith,,,
6,2002-05-16,Star Wars Ep. II: Attack of the Clones,,,
7,2001-11-02,"Monsters, Inc.",,,
8,2013-07-26,The Wolverine,,,
9,1997-02-07,Dante's Peak,,,
10,2016-04-22,The Huntsman: Winterâs War,,,
11,2002-06-14,Windtalkers,,,
12,2008-07-04,AstÃ©rix aux Jeux Olympiques,,,
13,2010-12-25,Gulliver's Travels,,,
14,2017-12-15,Ferdinand,,,
15,2018-05-18,Deadpool 2,,,
16,2013-10-04,Gravity,,,
17,2006-12-22,Night at the Museum,,,
18,2005-06-10,Mr. and Mrs. Smith,,,
19,2015-05-29,San Andreas,,,
20,2011-07-29,The Smurfs,,,
21,2007-06-27,Live Free or Die Hard,,,
22,2015-03-20,The Divergent Series: Insurgent,,,
23,2004-12-10,Ocean's Twelve,,,
24,1997-12-19,Tomorrow Never Dies,,,
25,2000-06-28,The Patriot,,,
26,2014-03-07,300: Rise of an Empire,,,
27,2004-12-17,The Aviator,,,
28,2016-12-21,Passengers,,,
29,2011-01-14,The Green Hornet,,,
30,2016-09-30,Miss Peregrineâs Home for Peculiar Children,,,
31,2011-10-07,Real Steel,,,
32,2010-06-11,The A-Team,,,
33,2013-07-31,The Smurfs 2,,,
34,2016-03-18,The Divergent Series: Allegiant,,,
35,2009-06-12,The Taking of Pelham 123,,,
36,2013-11-01,Ender's Game,,,
37,2004-04-02,Home on the Range,,,
38,1997-06-13,Speed 2: Cruise Control,,,
39,2005-05-06,Kingdom of Heaven,,,
40,2017-03-31,Ghost in the Shell,,,
41,2004-06-16,Around the World in 80 Days,,,
42,2019-06-14,Men in Black: International,,,
43,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,,,
44,2003-11-21,The Cat in the Hat,,,
45,2001-12-25,Ali,,,
46,2015-10-02,The Martian,,,
47,2016-11-23,Allied,,,
48,2004-07-16,"I, Robot",,,
49,1999-12-17,Stuart Little,,,
50,2009-11-25,The Princess and the Frog,,,
51,2008-03-07,"10,000 B.C.",,,
52,2016-07-22,Ice Age: Collision Course,,,
53,2001-04-27,Town & Country,,,
54,2017-09-22,Kingsman: The Golden Circle,,,
55,2000-06-09,Gone in 60 Seconds,,,
56,2000-05-05,Gladiator,,,
57,2013-05-23,The Hangover 3,,,
58,2018-03-09,A Wrinkle in Time,,,
59,2009-07-01,Public Enemies,,,
60,2006-11-17,Casino Royale,,,
61,2002-06-21,Minority Report,,,
62,2018-12-21,Bumblebee,,,
63,2012-10-26,Cloud Atlas,,,
64,2002-11-15,Harry Potter and the Chamber of Secrets,,,
65,1991-07-02,Terminator 2: Judgment Day,,,
